Input1,Input2,Input3,Input4,Input5,Input6,Input7,Output
Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Price/Sales,Price/Book,Price
49.53,0,1.47,86.32,39.92,6.935696,5.81,72.32
18.89,2.03933,3.63,74.84,57.63,2.5191512,2.48,66.67
18.02,3.59375,0.97,20.14,15.965,3.9272704,1.17,18.56
21.51,2.8370044,4.36,122.51,104.77,3.6705062,,110.15
24.68,0.3695394,2.64,84.49,52.63,3.7116463,3.25,72.06
,0.73126143,-28.01,95.93,63.68,3.3850067,2.03,84.44
12.69,3.8879359,3.51,39.43,31.67,4.0020885,3.4,33.63
8.75,0,2.78,71.57,38.45,1.5730644,1.09,38.24
22.36,4.328479,4.48,123.55,96.66,2.7574685,1318.7,100.39
21.11,2.928564,9.93,107.47,75.135,0.47499472,2.12,92.44
16.06,3.698776,3.95,92.48,73.81,2.9931207,1.65,74.34
118.29,0.1816118,-3.39,199.83,125.46,6.7890477,2.76,169.16
17.55,1.9354838,10.4,160.07,115.25,4.04653,1.53,149.38
17.74,1.8570102,-1.19,119.33,66.06,1.3948758,2.44,101.32
18.73,1.5771489,6.31,122.0697,99.57,1.9551051,4.83,110.3
12.83,5.2196894,2.79,40.2,29.205,3.7497053,1.95,29.52
24.63,2.1998534,4.32,166.95,115.53,3.887915,6.88,144.07
24.26,0,42.66,2067.99,1589,9.176564,6.92,1806.06
11.96,3.1914895,4.5,75.585,58.9401,1.7167546,1.53,60.38
20.46,3.3704789,5.6,94.67,80.1,3.1595004,3.85,80.22
20.76,2.1061797,2.73,58.25,36.84,1.1458876,3.25,51.07
20.76,2.931379,3.06,67.53,48.69,14.380373,2.11,58.33
9.99,2.6985698,9.73,127.14,97.88,1.083727,0.93,103.38
16.11,3.60587,1.75,53.28,41.67,3.4491453,1.88,46.73
18.21,4.316159,6.81,232.21,180.9254,16.16417,6.56,180.49
12.86,1.2036108,1.44,35.21,21.06,1.0341544,1.99,28.67
20.98,0.100529455,6.77,157.96,84.53,1.7617522,2.14,142.68
19.71,0,-0.13,85.24,62.68,3.389142,1.98,76.85
16.51,3.5055351,1.65,69.28,48.92,4.263658,3.82,62.42
17.54,0,1.28,40.105,30.23,0.77893436,1.43,33.51
17.07,1.9884669,5.5,112.965,90.1,1.7709883,2.82,96.42
35.61,0.6097561,-2.79,34.09,12.7,1.9624339,0.59,12.82
16.94,1.0982976,4.12,99.1,71.35,1.9734555,2.34,86.06
25.78,1.5612764,6.95,213.45,147.86,2.2938328,5.28,198.74
15.54,5.372036,1.12,63.6,48.89,15.588069,1.92,47.56
79.9,0,1.68,135.77,78.48,8.202077,15.69,124.65
