Input1,Input2,Input3,Output
735,54522,1159,1974.03
765,363,1429,1975.03
862,480,1579,1976.03
1206,509,1631,1977.03
1431,737,4458,1978.03
1725,1073,4876,1979.03
2100,1044,5334,1980.03
2416,1228,5888,1981.03
2839,1315,6433,1982.03
3263,1166,7184,1983.03
3737,1333,7667,1984.03
4037,1907,7831,1985.03
4844,2559,7812,1986.03
6267,2888,7961,1987.03
6958,2591,8998,1988.03
7053,3643,10795,1989.03
6271,3562,9996,1990.03
4970,3245,11072,1991.03
3915,3082,11306,1992.03
3628,3143,12233,1993.03
3365,3427,13367,1994.03
3218,2565,14470,1995.03
3099,2215,15039,1996.03
3068,1940,16798,1997.03
3131,2184,17210,1998.03
2808,2334,1048,1999.03
2573,2609,1013,2000.03
2397,3485,937,2001.03
2870,2572,969,2002.03
3688,3521,792,2003.03
4126,3026,823,2004.03
4274,4459,588,2005.03
4843,4124,613,2006.03
4873,5053,602,2007.03
5584,5523,543,2008.03
5812,6498,597,2009.03
6201,5812,302,2010.03
6975,6219,243,2011.03
7499,7417,257,2012.03
7490,7822,270,2013.03
7939,8801,260,2014.03
8380,8256,261,2015.03
8534,6647,310,2016.03
8123,7900,356,2017.03
8494,8531,307,2018.03
158,8865,316,1972.03
172,8940,359,1973.03
185,10335,379,1974.03
205,10819,400,1975.03
234,156,333,1976.03
299,170,424,1977.03
366,174,429,1978.03
398,204,427,1979.03
505,262,396,1980.03
563,279,398,1981.03
659,322,442,1982.03
763,360,381,1983.03
804,382,473,1984.03
856,435,820,1985.03
1013,494,757,1986.03
1160,601,666,1987.03
1189,629,691,1988.03
1362,616,501,1989.03
1362,713,526,1990.03
1409,779,353,1991.03
1361,745,364,1992.03
1428,929,367,1993.03
1449,874,359,1994.03
1615,787,368,1995.03
1743,744,92,1996.03
1846,670,11,1997.03
1889,737,17,1998.03
1809,861,26,1999.03
1717,1159,30,2000.03
1691,1290,30,2001.03
1832,1571,32,2002.03
2011,2235,35,2003.03
2322,1908,36,2004.03
2256,1296,40,2005.03
2685,2231,40,2006.03
2746,3052,39,2007.03
2970,2504,34,2008.03
3206,2688,36,2009.03
3142,3419,42,2010.03
3328,3325,45,2011.03
3406,3518,58,2012.03
3705,3880,39,2013.03
3793,4363,59,2014.03
3988,3621,63,2015.03
4046,4086,29,2016.03
4415,4769,79,2017.03
4732,4747,228,2018.03
5947,4811,256,1972.03
6842,5285,271,1973.03
7962,5406,278,1974.03
8651,5336,291,1975.03
9673,5618,297,1976.03
12013,1578,235,1977.03
13344,1964,249,1978.03
14940,2289,235,1979.03
17409,2814,184,1980.03
20047,3439,229,1981.03
24401,3757,210,1982.03
27735,3817,232,1983.03
31319,4177,240,1984.03
35629,4426,244,1985.03
41212,5218,231,1986.03
47883,7245,231,1987.03
52112,8537,278,1988.03
56565,9557,322,1989.03
59143,11014,272,1990.03
60379,13196,276,1991.03
60151,13963,319,1992.03
62189,15175,339,1993.03
67705,14906,366,1994.03
72826,16055,297,1995.03
77541,15738,382,1996.03
81297,13416,384,1997.03
84237,13998,369,1998.03
85529,16519,357,1999.03
91020,19293,339,2000.03
96601,21581,379,2001.03
104184,22591,352,2002.03
108906,23216,394,2003.03
116373,21962,3517,2004.03
124096,24769,4113,2005.03
130250,24987,5005,2006.03
136341,27656,5405,2007.03
148481,29655,6080,2008.03
149138,33607,6373,2009.03
152330,37431,6167,2010.03
158906,40320,6266,2011.03
165895,41132,6504,2012.03
168943,44639,7231,2013.03
182320,42952,7740,2014.03
189444,39037,8158,2015.03
199365,39992,8335,2016.03
211924,42326,8416,2017.03
227966,44712,8522,2018.03
58,49365,8707,1972.03
69,54111,9221,1973.03
78,58219,9840,1974.03
90,61302,10556,1975.03
108,66826,11260,1976.03
130,70959,11884,1977.03
151,519,12608,1978.03
181,650,12647,1979.03
217,683,11811,1980.03
261,941,13031,1981.03
317,1335,13819,1982.03
336,1323,14611,1983.03
329,1550,15260,1984.03
363,1674,15882,1985.03
421,1548,16486,1986.03
505,1768,17337,1987.03
588,2401,18321,1988.03
670,3160,19438,1989.03
729,3518,30906,1990.03
809,3206,31627,1991.03
903,4355,33466,1992.03
970,4340,36318,1993.03
1033,3989,38676,1994.03
1126,4011,41596,1995.03
1230,4017,45139,1996.03
1430,4214,48777,1997.03
1644,3309,51888,1998.03
1969,2885,56453,1999.03
2085,2677,58852,2000.03
2217,3046,58353,2001.03
2326,3493,60558,2002.03
2468,3899,62995,2003.03
2692,5056,65212,2004.03
2947,4808,68017,2005.03
3021,5430,71990,2006.03
3143,4322,76624,2007.03
3323,6690,81215,2008.03
3755,7176,86739,2009.03
3966,7557,92276,2010.03
4099,8211,774,2011.03
4267,9917,773,2012.03
4304,9137,803,2013.03
4483,9737,1210,2014.03
4924,11297,1612,2015.03
4908,12186,1761,2016.03
5023,12422,1889,2017.03
5268,12341,2029,2018.03
663,11415,2137,1972.03
743,12647,2284,1973.03
886,13343,2590,1974.03
1050,14150,2582,1975.03
1267,14346,2822,1976.03
1439,15671,2932,1977.03
1731,16437,3014,1978.03
2122,136,3067,1979.03
2467,177,3067,1980.03
3082,199,3057,1981.03
3683,177,3018,1982.03
4088,234,3018,1983.03
4198,292,588,1984.03
4400,299,469,1985.03
5173,375,464,1986.03
6437,497,492,1987.03
7133,595,538,1988.03
7704,746,591,1989.03
8035,736,614,1990.03
8269,787,719,1991.03
8360,882,794,1992.03
8503,564,876,1993.03
8706,519,951,1994.03
8768,525,966,1995.03
9113,603,1030,1996.03
9592,876,1064,1997.03
9984,833,1167,1998.03
10584,926,1191,1999.03
10942,1053,1329,2000.03
11474,1192,1348,2001.03
12040,1222,1437,2002.03
12729,1277,1608,2003.03
13555,1120,26418,2004.03
14666,1085,27114,2005.03
16009,1094,29183,2006.03
17312,1248,31488,2007.03
18637,1556,33346,2008.03
20214,1907,36085,2009.03
21160,1917,39375,2010.03
21755,1670,42809,2011.03
22424,1756,45402,2012.03
22879,2053,49768,2013.03
23563,2041,51908,2014.03
24352,3347,51412,2015.03
25281,3050,53319,2016.03
26336,2273,54725,2017.03
27370,2485,57387,2018.03
99,2383,60327,1972.03
116,2627,64038,1973.03
132,2707,68395,1974.03
158,2934,72668,1975.03
196,3054,77951,1976.03
208,2710,2927,1977.03
243,3242,3033,1978.03
297,14,2779,1979.03
362,22,2874,1980.03
428,14,2926,1981.03
534,37,2882,1982.03
607,171,2963,1983.03
649,214,2925,1984.03
708,240,3161,1985.03
806,145,3082,1986.03
889,89,2896,1987.03
957,101,2825,1988.03
1072,110,2801,1989.03
1154,104,3685,1990.03
1235,251,2981,1991.03
1190,238,2840,1992.03
1134,350,2916,1993.03
1164,515,3134,1994.03
1189,459,3373,1995.03
1236,393,3413,1996.03
1240,227,198,1997.03
1267,615,239,1998.03
1292,608,237,1999.03
1298,386,253,2000.03
1342,258,253,2001.03
1423,259,276,2002.03
1505,416,299,2003.03
1611,242,295,2004.03
1735,121,394,2005.03
1872,307,443,2006.03
2086,514,507,2007.03
2281,339,568,2008.03
2450,449,586,2009.03
2596,689,588,2010.03
2729,838,663,2011.03
2820,674,592,2012.03
2932,723,640,2013.03
3061,1577,689,2014.03
3209,2645,718,2015.03
3354,2210,748,2016.03
3545,1652,2512,2017.03
3718,1049,2544,2018.03
821,1369,2583,1972.03
928,1474,2672,1973.03
1096,1750,2838,1974.03
1299,1958,3059,1975.03
1572,1452,3239,1976.03
1777,877,3682,1977.03
2126,878,4020,1978.03
2600,230,4297,1979.03
3046,266,4364,1980.03
3771,298,4492,1981.03
4534,384,4524,1982.03
5030,385,4889,1983.03
5176,500,4957,1984.03
5471,422,5051,1985.03
6400,502,5610,1986.03
7831,605,5874,1987.03
8678,804,5951,1988.03
9446,1401,6229,1989.03
9918,2425,6346,1990.03
10313,2394,736,1991.03
10453,2321,629,1992.03
10606,2505,447,1993.03
10903,2310,384,1994.03
11083,2357,363,1995.03
11579,2111,337,1996.03
12262,2824,217,1997.03
12895,1995,204,1998.03
13845,1817,196,1999.03
14325,1999,136,2000.03
15033,2875,138,2001.03
15789,3137,143,2002.03
16702,2768,66,2003.03
17859,3086,65,2004.03
19348,2453,73,2005.03
20902,2696,70,2006.03
22541,2650,74,2007.03
24241,3100,78,2008.03
26419,3662,79,2009.03
27722,3105,91,2010.03
28583,3301,95,2011.03
29511,3813,104,2012.03
30115,3715,110,2013.03
31106,3586,136,2014.03
32485,3660,139,2015.03
33543,3643,132,2016.03
34904,2773,121,2017.03
36356,2845,109,2018.03
5271,3820,130,1972.03
6080,3558,131,1973.03
7120,3645,142,1974.03
7771,4031,145,1975.03
8685,4346,152,1976.03
10639,4147,593,1977.03
11699,3684,466,1978.03
12998,152,279,1979.03
15020,195,217,1980.03
17330,179,199,1981.03
21221,255,183,1982.03
24044,365,100,1983.03
27108,379,97,1984.03
31099,432,100,1985.03
35776,450,86,1986.03
40961,431,84,1987.03
44552,469,87,1988.03
48821,577,17,1989.03
52239,653,17,1990.03
54809,674,20,1991.03
55778,531,18,1992.03
58103,615,20,1993.03
63923,697,21,1994.03
