Input,Output
2012.06,6111.514775
2013.06,6241.914432
2014.06,6785.43504
2015.06,7186.52772
2016.06,7409.487567
2017.06,8800.252157
2018.06,8975.46356
2019.06,9361.968421
1971.06,299.3581981
1972.06,350.7589876
1973.06,351.3346765
1974.06,293.683551
1975.06,284.637012
1976.06,281.1006377
1977.06,296.6442364
1978.06,278.386676
1979.06,308.6514609
1980.06,314.326108
1981.06,314.5728318
1982.06,328.9650529
1983.06,362.6839708
1984.06,361.3681106
1985.06,390.7282416
1986.06,370.0856845
1987.06,466.8836513
1988.06,500.520328
1989.06,578.320563
1990.06,541.0188867
1991.06,630.3694137
1992.06,779.1423785
1993.06,687.0448288
1994.06,732.1538327
1995.06,804.299323
1996.06,846.2275638
1997.06,849.2637467
1998.06,696.1814448
1999.06,664.7130681
2000.06,689.8500969
2001.06,721.0391482
2002.06,780.1066811
2003.06,834.8977779
2004.06,899.1783991
2005.06,991.0851764
2006.06,1038.33248
2007.06,1077
2008.06,1205.25
2009.06,1136.75
2010.06,1034
2011.06,1139
2012.06,1207
2013.06,1304
2014.06,1266
2015.06,1330
2016.06,1409
2017.06,1316
2018.06,1555.25
2019.06,
1971.06,721.3186966
1972.06,769.9033857
1973.06,788.9795826
1974.06,631.6009579
1975.06,782.1240743
1976.06,1022.364929
1977.06,1054.556012
1978.06,1012.528765
1979.06,959.1750271
1980.06,941.2910925
1981.06,1189.877784
1982.06,1192.262308
1983.06,1287.941359
1984.06,1180.935816
1985.06,1478.405262
1986.06,1236.674079
1987.06,1401.802409
1988.06,1425.34959
1989.06,1414.619229
1990.06,1145.712215
1991.06,1168.336585
1992.06,1469.169999
1993.06,1184.951356
1994.06,1357.108668
1995.06,1253.531476
1996.06,1195.203023
1997.06,1459.271837
1998.06,1348.580021
1999.06,1084.280551
2000.06,947.1009989
2001.06,936.4627279
2002.06,928.6907248
2003.06,1007.72636
2004.06,1038.147413
2005.06,1063.716263
2006.06,1186
2007.06,1133
2008.06,1051
2009.06,1136
2010.06,1019
2011.06,934
2012.06,
2013.06,
2014.06,
2015.06,
2016.06,
2017.06,
2018.06,
2019.06,
1971.06,51.13175309
1972.06,57.21213769
1973.06,60.5359969
1974.06,43.5623808
1975.06,55.47428236
1976.06,52.86960842
1977.06,56.5498967
1978.06,53.58246655
